"Molecule ChEMBL ID","Molecule Name","Molecular Weight","AlogP","Smiles","hERG_IC50_nM","Assay Type","Target Name","Document Year"
"CHEMBL597737",,"338.39","3.31","Fc1ccccc1-c1ccc2oc(N3CCN4CCC3CC4)nc2n1",2800,"B","HERG",2010
"CHEMBL403181",,"512.68","5.63","CCc1noc2cc3c(cc12)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3",1000,"B","HERG",2008
"CHEMBL257946",,"498.66","5.37","Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6onc(C)c6cc5CC4)n3C)cccc2n1",794.33,"B","HERG",2008
"CHEMBL555347",,"417.39","4.56","O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC(c2nc(-c3ccccn3)no2)CC1",8000,"B","HERG",2009
"CHEMBL241330",,"450.99","3.54","CCOc1cc(CN2CCC(NC(=O)c3cccc(S(C)(=O)=O)c3)CC2)ccc1Cl",1300,"B","HERG",2007
"CHEMBL253868",,"452.51","5.01","Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1",3000,"B","HERG",2008
"CHEMBL1095158",,"541.87","7.44","Cc1c[nH]nc1C(=O)N[C@@H]1CC(C)(C)Oc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc21",5300,"B","HERG",2010
"CHEMBL1080787",,"315.24","3.45","CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1",20000,"B","HERG",2010
"CHEMBL273199",,"537.74","5.63","Cc1cc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)nn6C)cc5CC4)n3C)cccc2cn1",1995.26,"B","HERG",2008
"CHEMBL390429",,"489.65","5.04","COc1ccccc1-c1nnc(SCCCN2CCc3ccc(-c4cc(C)on4)cc3CC2)n1C",39.81,"B","HERG",2007
"CHEMBL1271816",,"460.07","3.64","Cc1nc(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)cc(C(C)(C)C)n1.Cl",5900,"B","HERG",2010
"CHEMBL1271756",,"486.88","4.16","Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(C(C)C)n1.Cl",5400,"B","HERG",2010
"CHEMBL428777",,"477.95","4.86","C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C",14000,"B","HERG",2008
"CHEMBL410885",,"442.56","4.79","O=C(c1ccncn1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1",1412.54,"B","HERG",2008
"CHEMBL515001",,"396.47","3.95","Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C",11000,"B","HERG",2008
"CHEMBL402853",,"578.75","5.77","Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1",794.33,"B","HERG",2008
"CHEMBL272588",,"491.54","4.03","Cc1ncoc1-c1nnc(SCCCN2CCc3nc4cc(C(F)(F)F)ccn4c3CC2)n1C",794.33,"B","HERG",2008
"CHEMBL406678",,"483.65","4.57","Cc1ccc2c(-c3nnc(SCCCN4CCc5nc6ccccn6c5CC4)n3C)cccc2n1",2511.89,"B","HERG",2008
"CHEMBL410234",,"368.44","2.74","Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1",650,"B","HERG",2008
"CHEMBL272637",,"437.55","2.67","Cc1cc(C)n(-c2cc(NC(=O)CN3CC[C@@H](CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1",1010,"B","HERG",2008
"CHEMBL487063",,"377.49","3.95","Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCCC2)cc1",7900,"B","HERG",2008
"CHEMBL1108","DROPERIDOL","379.44","3.68","O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1",32.36,"B","HERG",2008
"CHEMBL327980",,"401.53","2.9","Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1",22.91,"B","HERG",2008
